metric,dataset,scenario,target_method,baseline_method,n_paired_folds,mean_difference,sd_difference,wilcoxon_statistic,wilcoxon_p_two_sided,wilcoxon_p_fdr_bh
auc,human,random,arnoldi_s12,mlp,15,0.03517094712729499,0.006048491600414934,0.0,6.103515625e-05,9.912476503759398e-05
auc,human,random,arnoldi_s12,gcn,15,-0.010190498222469107,0.005680874399925126,0.0,6.103515625e-05,9.912476503759398e-05
auc,human,random,arnoldi_s12,colddti,15,0.07333104756314525,0.022471817701995852,0.0,6.103515625e-05,9.912476503759398e-05
auc,human,random,arnoldi_s12,drugban,15,-0.004870055791188436,0.00845016587282227,21.0,0.02557373046875,0.033077399887724554
auc,human,random,arnoldi_s12,arnoldi_v4,15,0.012995566864100853,0.003200184924949778,0.0,6.103515625e-05,9.912476503759398e-05
auc,human,random,arnoldi_s12,arnoldi_s1,15,0.0007441145426142197,0.0016495947013706262,28.0,0.072998046875,0.09167196584302326
auc,human,random,arnoldi_s12,arnoldi_s2,15,0.0027850454810564177,0.0028522540947205377,8.0,0.00152587890625,0.0021827141970198675
auc,human,random,arnoldi_s12,arnoldi_s12_shuffle,15,0.008906046892465954,0.003916583997340185,0.0,6.103515625e-05,9.912476503759398e-05
auc,human,cold_drug,arnoldi_s12,lr,15,0.19444625629582615,0.0404707594311545,0.0,6.103515625e-05,9.912476503759398e-05
auc,human,cold_drug,arnoldi_s12,mlp,15,0.023720272331320392,0.02585892179426829,14.0,0.0067138671875,0.009178451344936708
auc,human,cold_drug,arnoldi_s12,gcn,15,-0.016095411888189547,0.01979930310416268,12.0,0.0042724609375,0.005915715144230769
auc,human,cold_drug,arnoldi_s12,colddti,15,0.009991508161469927,0.059270759521499454,58.0,0.93408203125,0.9384265988372092
auc,human,cold_drug,arnoldi_s12,drugban,15,0.007379530698752775,0.04621555355800066,57.0,0.890380859375,0.9029214348591549
auc,human,cold_drug,arnoldi_s12,arnoldi_v4,15,0.0046183063957372745,0.017839946498993606,33.0,0.1353759765625,0.1652045815677966
auc,human,cold_drug,arnoldi_s12,arnoldi_s1,15,-0.002584929741006296,0.012994577861296054,43.0,0.359130859375,0.4126184341755319
auc,human,cold_drug,arnoldi_s12,arnoldi_s2,15,0.0006505384699702595,0.011594805956088534,49.0,0.5614013671875,0.6250654397551546
auc,human,cold_drug,arnoldi_s12,arnoldi_s12_shuffle,15,0.005185063647410323,0.02250389764060802,39.0,0.25238037109375,0.3011832052831492
auc,human,cold_protein,arnoldi_s12,lr,15,0.030709712829906102,0.025439364028940696,2.0,0.00018310546875,0.0002825055803571429
auc,human,cold_protein,arnoldi_s12,mlp,15,-0.04106367252999685,0.03442692091265371,8.0,0.00152587890625,0.0021827141970198675
