method,method_label,dataset,scenario,auc_mean,auc_std,auc_count,aupr_mean,aupr_std,aupr_count,f1_mean,f1_std,f1_count,accuracy_mean,accuracy_std,accuracy_count
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_drug,0.9734545295565217,0.003197012300845236,15,0.9282320481934251,0.006177500389958612,15,0.9037917230494064,0.006674991038145371,15,0.9836774845571395,0.0010718011184571443,15
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_pair,0.734621628871437,0.02977753360817349,15,0.3653983050311994,0.07815952420679996,15,0.4036649043029568,0.05588700940982078,15,0.8926351708292938,0.0318233612969486,15
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,0.7246957691608734,0.05162088321917798,15,0.3300606876580653,0.06969149808802176,15,0.36051202460442133,0.0638945334098821,15,0.869170540995443,0.0373354181398607,15
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,0.9806639067467681,0.001656175847186811,15,0.9410721129454414,0.003979431591485474,15,0.9116341056474351,0.005824568102618203,15,0.9847532110911911,0.000940595821362933,15
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,0.8949952643972268,0.007936796520166827,15,0.7208680645508896,0.016936288336046556,15,0.6931206695230296,0.016584777196528035,15,0.9506590991097492,0.0023016532909537714,15
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,0.7444059355796758,0.02987390897979507,15,0.3752765998443598,0.04669194524630075,15,0.38031509529184965,0.05033997401735311,15,0.8889340792737221,0.028846944501756577,15
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_protein,0.8137931778994202,0.021207632344135936,15,0.4866093820011173,0.027245089150233763,15,0.4852083920492287,0.029131934909921664,15,0.9117880838795962,0.011476415369800222,15
arnoldi_s1,ArnoldiGCL + S1,biosnap,random,0.9341554804082979,0.004397056409980802,15,0.7928834870941349,0.008390583373838264,15,0.7396224193915505,0.007339213808453263,15,0.9546922588137339,0.0016236753808340724,15
arnoldi_s1,ArnoldiGCL + S1,human,cold_drug,0.8807660757658493,0.031056051123012737,15,0.589288054541909,0.0722725212348056,15,0.5089152713630366,0.06086368097293341,15,0.9225463251162792,0.012285405849749525,15
arnoldi_s1,ArnoldiGCL + S1,human,cold_pair,0.6390291666908179,0.06087203991706711,15,0.18358963883307855,0.05771002047784828,15,0.20937033038064007,0.059193092096868974,15,0.6248359417422074,0.2074422649670583,15
