method,method_label,dataset,scenario,seed,fold,split_signature,best_val_auc,n_test_positive,accuracy,auc,aupr,f1,threshold
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_pair,1941488137,4,b79488fb07b6204668a5d205427de2a4d6a388125d3a689c76e691a7e1078a0c,0.7463953665599756,747,0.9109163928441036,0.7365210955378856,0.411567988373465,0.43950995405819293,0.11524416225617878
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_pair,4198936517,0,623e3f2499dd11866908cefe7fe7e7abe7c21170e81c11241d5b048682e96432,0.8165952550379263,1037,0.7967914438502673,0.6792786476084023,0.1552558505660879,0.29415347137637027,0.2780560203447738
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_pair,4198936517,1,5e8664cd3b0a95abf0f6b0d15ce4771e4f24c5969a60edec42f76bebdf870ed6,0.8062714681440443,742,0.9033325165400637,0.6821978008006335,0.35861660745593477,0.393543428132206,0.12439471292169127
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_pair,4198936517,2,f138fd2b71c3a54018d0937acabffe0ea4ac8598e60bb0b122469f6e7b60a27b,0.7213223363980529,943,0.8755422732092933,0.6946601008266526,0.2948957764152093,0.32655190401669276,0.11114874536962545
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_pair,4198936517,3,3894e7ee00e5ffe62c846a7ab1197097de5b9db34c79da92c0981897c6953231,0.7907015457788347,655,0.8897987508674532,0.7677997785676826,0.39678767081492167,0.3984848484848485,0.20114564189355674
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_pair,4198936517,4,3d88c52c58071efde8e1fae42ed5be4d4d3354b23c80f64b663bc7d5806a8fc2,0.7901199637845179,723,0.8979001634603294,0.7723487696301525,0.34869038947397724,0.4072992700729927,0.19323002607855055
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_pair,983997847,0,a1543616e83727949e58fe0c4fc7e23733d1725603632dfd593a38e9d4314a38,0.6854177777777779,1058,0.8686200378071833,0.7517540317537459,0.2964244410510216,0.37870784234051197,0.4929504420822614
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_pair,983997847,1,44c0d6816c76aa3a2113b5e5b49b5baa57093baa92b9170f41621f144578efbc,0.792812706192855,874,0.9136675681298106,0.7427984384900166,0.4021110305540881,0.4211994421199442,0.49691810429912725
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_pair,983997847,2,b3cf07d59bdc3e1f2b3148b95d02e95198c5ddf26efd2fe0a722234d1129296a,0.6548334910411769,732,0.8648782911077993,0.7558181417778972,0.3517844569397648,0.3887640449438202,0.023606528946491966
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_pair,983997847,3,cb3eb24cc3f35d3248ba1e807c2bc1e8ba6180a8b79931b4372d487d74d59b8c,0.8162916233090531,691,0.904749375082226,0.7456568952481879,0.3799580940248681,0.3853989813242784,0.3604036140319421
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_pair,983997847,4,b1ee7b4942b8c6aa621a1b8d5b9dd55945af4aae50932fc4fc5366d293b027b6,0.7748958406892169,771,0.9152222615257635,0.7077206989423677,0.34894062162011386,0.3687445127304653,0.2714704493790457
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,1941488137,0,b8f4b00318dc9ff3a71214100e4aa6df2e9f73a506a45512b1452972c20df9a5,0.5917687172499737,4204,0.8260098607386904,0.6988802093470855,0.25856016703508594,0.31558353181354204,5.2670015938929114e-05
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,1941488137,1,6324786832b507b8d88ac5af97a996d64cf4221232f8a2c04500f4f96dfda2e5,0.7230306910966888,3581,0.8961945622096418,0.6796637026173932,0.3164885250854732,0.3559615687509844,0.14373272830696954
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,1941488137,2,18a6cc162f1fa8d7979557f3103d6589ad6c76101e9d4b05edbc3508c39d7449,0.8406522830039314,3319,0.8938343969980005,0.7843045614370173,0.3272240171864546,0.3226144704648724,0.14791517153586412
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,1941488137,3,d8a62a5b9d02c5fdecaf03b3e4205a1fd809acb1a39813a2983042d6e71103a7,0.6924163489140139,5585,0.7775046797428176,0.6665377525970013,0.2319653398893327,0.26993537360465736,0.03217585642554172
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,1941488137,4,6f23544a9a5ff66b69f436861c5b792732177ec1bed1d2b13661542bac6e24ff,0.7950994730447166,3985,0.8889243754990305,0.7568546824745872,0.34510733072319655,0.3606040709126724,0.1915868605959087
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,4198936517,0,22e974af8b2c809bdefdffe3e21f5cd4dca5166faa3d99cf8e431c989fe973ec,0.7729295454854916,5398,0.8658930917174711,0.6486771633065422,0.24115124453878056,0.28742729306487697,0.07329498156803102
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,4198936517,1,7de9c60893654c75d6754628b7974dd61c3826b3a821f9d60b154eb8dce8beb7,0.724476774367101,3710,0.8818181818181818,0.70379959459754,0.33079314523378406,0.3537451427040064,0.1032329279143516
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,4198936517,2,a1b2551830003e141ac4c3d8c0b31d0bf510c9258df9358bc6e3050d3e4a2ad1,0.8263177349005693,4675,0.9208361691784152,0.7870908701993193,0.4412895753219479,0.4631412369774496,0.38630567026464907
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,4198936517,3,54e27bd08e4aef100ce01bad8ce9e207fa9a2710a2c83e4014f33c0e5ca75c50,0.7193902144176794,3397,0.8354162763936094,0.7299109831190989,0.33020270418863223,0.3650629774932893,0.0013578912922602197
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,4198936517,4,0daede7857fabe586f0f52f24e384964600ef55eaaa7afdc863972f69e5aa1ee,0.7194642933405861,3494,0.8656397980954363,0.681425558541931,0.32759510117564067,0.3548225887056472,0.10879991320918685
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,983997847,0,a5feacf2df5d6831b820604ee4902c21b8ee04ab2881d4c6d5d7c3b487a651d3,0.846805043334875,5465,0.8834234384097147,0.7035130335353732,0.3376026735354457,0.37057661217891147,0.184061660170555
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,983997847,1,0f751e4977a964aa5d45f5e60f178b601671b9f0c0c50246a40f80b5ea0bea35,0.7985440231107443,4229,0.8461488854016639,0.7206337955992026,0.2833550074045212,0.3105673827184279,0.0855616045733021
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,983997847,2,97af94b0063094defb869e774b6c443798a524b786f6404e94fa204ec20371a1,0.7979058243949484,3754,0.8939555383348671,0.8137776001105834,0.4054835445213203,0.44138282944253093,0.16183416566620135
arnoldi_s1,ArnoldiGCL + S1,bindingdb,cold_protein,983997847,3,998506e928ef1e0c00d67e1ebc691c0912c556c62ce64b142e76df88d3301536,0.5274114488327322,3428,0.9118224249496129,0.7985565879999836,0.48227740013125764,0.5009755365450999,0.1469143902459373
