method,method_label,dataset,scenario,n_completed
drugban,DrugBAN,biosnap,random,15
drugban,DrugBAN,human,cold_drug,15
drugban,DrugBAN,human,cold_pair,15
drugban,DrugBAN,human,cold_protein,15
drugban,DrugBAN,human,random,15
gcn,GCN (leak-safe KNN graph),bindingdb,cold_drug,15
gcn,GCN (leak-safe KNN graph),bindingdb,cold_pair,15
gcn,GCN (leak-safe KNN graph),bindingdb,cold_protein,15
gcn,GCN (leak-safe KNN graph),bindingdb,random,15
gcn,GCN (leak-safe KNN graph),biosnap,cold_drug,15
gcn,GCN (leak-safe KNN graph),biosnap,cold_pair,15
gcn,GCN (leak-safe KNN graph),biosnap,cold_protein,15
gcn,GCN (leak-safe KNN graph),biosnap,random,15
gcn,GCN (leak-safe KNN graph),human,cold_drug,15
gcn,GCN (leak-safe KNN graph),human,cold_pair,15
gcn,GCN (leak-safe KNN graph),human,cold_protein,15
gcn,GCN (leak-safe KNN graph),human,random,15
lr,Logistic regression (Morgan+ESM-2),bindingdb,cold_drug,15
lr,Logistic regression (Morgan+ESM-2),bindingdb,cold_pair,15
lr,Logistic regression (Morgan+ESM-2),bindingdb,cold_protein,15
lr,Logistic regression (Morgan+ESM-2),bindingdb,random,15
lr,Logistic regression (Morgan+ESM-2),biosnap,cold_drug,15
lr,Logistic regression (Morgan+ESM-2),biosnap,cold_pair,15
lr,Logistic regression (Morgan+ESM-2),biosnap,cold_protein,15
lr,Logistic regression (Morgan+ESM-2),biosnap,random,15
lr,Logistic regression (Morgan+ESM-2),human,cold_drug,15
lr,Logistic regression (Morgan+ESM-2),human,cold_pair,15
lr,Logistic regression (Morgan+ESM-2),human,cold_protein,15
lr,Logistic regression (Morgan+ESM-2),human,random,15
mlp,MLP (Morgan+ESM-2),bindingdb,cold_drug,15
mlp,MLP (Morgan+ESM-2),bindingdb,cold_pair,15
mlp,MLP (Morgan+ESM-2),bindingdb,cold_protein,15
mlp,MLP (Morgan+ESM-2),bindingdb,random,15
mlp,MLP (Morgan+ESM-2),biosnap,cold_drug,15
mlp,MLP (Morgan+ESM-2),biosnap,cold_pair,15
mlp,MLP (Morgan+ESM-2),biosnap,cold_protein,15
mlp,MLP (Morgan+ESM-2),biosnap,random,15
mlp,MLP (Morgan+ESM-2),human,cold_drug,15
mlp,MLP (Morgan+ESM-2),human,cold_pair,15
mlp,MLP (Morgan+ESM-2),human,cold_protein,15
mlp,MLP (Morgan+ESM-2),human,random,15
